Symbol	P99
1-Mar	11.03618192
2-Mar	11.97078666
3-Mar	6.1644589
5-Mar	10.12497879
6-Mar	11.58039264
7-Mar	12.00697498
8-Mar	10.97070285
9-Mar	9.246836636
1-Sep	11.43586569
2-Sep	12.67495116
5-Sep	9.628201095
6-Sep	11.60898155
7-Sep	11.88965475
8-Sep	6.851530036
9-Sep	14.03378714
10-Sep	7.838169425
11-Sep	9.082625531
14-Sep	8.12995794
15-Sep	11.82954204
A1BG	7.093151502
AAAS	10.03766211
AACS	8.592082688
AADAT	8.757127749
AAED1	8.658018981
AAGAB	9.860159766
AAK1	11.07668097
AAMP	11.19817978
AAR2	10.25899704
AARS	10.3351248
AARS2	9.121175744
AARSD1	8.734012059
AASDH	8.101093506
AASDHPPT	9.287862173
AATF	11.13463196
AATK	12.28181238
ABAT	10.6510165
ABCA1	11.69229976
ABCA12	7.804529357
ABCA13	8.936634226
ABCA2	12.33175884
ABCA3	8.77634777
ABCA4	7.871809493
ABCA5	9.271030487
ABCA6	7.470167917
ABCA7	14.10401869
ABCA9	7.312856206
ABCB1	7.532111891
ABCB10	8.787521836
ABCB5	7.293751053
ABCB6	8.231471252
ABCB7	9.121175744
ABCB8	9.839397871
ABCC1	10.67843597
ABCC10	9.668782694
ABCC11	7.804529357
ABCC13	7.75808265
ABCC2	8.156770884
ABCC3	10.15241476
ABCC4	9.159720072
ABCC5	9.538142549
ABCC6	10.66092834
ABCC8	7.131723949
ABCC9	7.833020341
ABCD1	11.31141573
ABCD2	7.595394857
ABCD3	8.89913444
ABCD4	9.541414175
ABCE1	9.454789508
ABCF1	10.71052085
ABCF2	10.11207545
ABCF3	10.63621756
ABCG1	11.35501126
ABCG2	7.97330721
ABHD10	9.003015377
ABHD11	7.364197279
ABHD12	9.249803568
ABHD13	9.010697993
ABHD14A	8.611832999
ABHD14A-ACY1	8.781871984
ABHD14B	11.0459036
ABHD15	9.251424864
ABHD16A	9.485403569
ABHD16B	8.704030892
ABHD2	13.19867771
ABHD3	10.93146906
ABHD4	11.23479408
ABHD5	11.85280605
ABHD6	8.272095592
ABHD8	9.475608239
ABI1	11.92709532
ABI2	8.919190185
ABI3	11.43139532
ABL1	9.683213038
ABLIM1	11.42295154
ABLIM3	8.456955224
ABP1	4.794523101
ABR	12.91048484
ABRACL	10.3274281
ABT1	10.43017177
ABTB1	15.17321647
ABTB2	8.231471252
ACAA1	11.94294386
ACAA2	10.3274281
ACACA	9.559898731
ACACB	9.44767855
ACAD10	10.22529605
ACAD11	8.671127072
ACAD8	10.0251598
ACAD9	9.727241522
ACADM	9.060817934
ACADS	9.174183475
ACADSB	9.185131823
ACADVL	12.66139166
ACAP1	13.29075611
ACAP2	12.27227553
ACAP3	11.41160625
ACAT1	8.826542648
ACAT2	8.611832999
ACBD3	9.577141538
ACBD4	9.060817934
ACBD5	9.501177311
ACBD6	8.734012059
ACCS	10.14942046
ACD	9.808360333
ACE	6.442301278
ACER3	8.999420136
ACIN1	12.77926642
ACLY	11.91666168
ACN9	7.312856206
ACO1	9.219534059
ACO2	11.2402898
ACOT1	7.005046341
ACOT11	6.962293317
ACOT13	9.163229131
ACOT7	7.787678543
ACOT8	9.379454732
ACOT9	11.34524197
ACOX1	12.4407787
ACOX3	8.916560662
ACOXL	8.4356834
ACP1	10.03601181
ACP2	9.559898731
