Symbol	P51
1-Mar	10.31626264
2-Mar	12.17456648
3-Mar	7.374556846
5-Mar	9.991726216
6-Mar	11.6115634
7-Mar	11.67239546
8-Mar	11.16529161
9-Mar	8.930868539
1-Sep	11.37257159
2-Sep	12.37205014
5-Sep	10.82448313
6-Sep	11.6672927
7-Sep	11.76476413
8-Sep	6.683346903
9-Sep	14.00524181
10-Sep	7.983706414
11-Sep	8.887426662
14-Sep	8.770846397
15-Sep	11.93289064
A1BG	7.578966272
AAAS	9.858910258
AACS	8.539435782
AADAT	9.399299253
AAED1	9.422803148
AAGAB	10.07355683
AAK1	10.93162514
AAMP	11.25863437
AAR2	10.66114695
AARS	9.882788218
AARS2	9.288251242
AARSD1	9.023681347
AASDH	7.439882665
AASDHPPT	8.998020675
AATF	11.44736102
AATK	13.04605577
ABAT	10.92898712
ABCA1	10.09150294
ABCA12	7.861912541
ABCA13	8.446515301
ABCA2	12.14018547
ABCA3	9.280639886
ABCA4	7.836211334
ABCA5	8.807959081
ABCA6	7.578966272
ABCA7	12.93148
ABCA9	7.456908843
ABCB1	7.234908122
ABCB10	7.874671181
ABCB5	7.521896706
ABCB6	8.641525264
ABCB7	8.85626321
ABCB8	9.899947158
ABCC1	10.81789392
ABCC10	9.699176955
ABCC11	8.219399472
ABCC13	8.114831702
ABCC2	7.796238926
ABCC3	10.44400691
ABCC4	9.135928498
ABCC5	10.50575356
ABCC6	10.18555845
ABCC8	7.756230798
ABCC9	8.158038916
ABCD1	10.80699334
ABCD2	6.992648687
ABCD3	8.317820656
ABCD4	9.529450208
ABCE1	9.033767704
ABCF1	11.27117464
ABCF2	10.09280936
ABCF3	11.09952689
ABCG1	10.92081772
ABCG2	8.613898744
ABHD10	8.886875653
ABHD11	7.641799128
ABHD12	9.281927643
ABHD13	8.560314166
ABHD14A	8.394070946
ABHD14A-ACY1	8.736488792
ABHD14B	11.15059365
ABHD15	9.043340375
ABHD16A	9.85173759
ABHD16B	8.699117526
ABHD2	13.40239761
ABHD3	10.13580528
ABHD4	11.54344673
ABHD5	11.97523392
ABHD6	8.317820656
ABHD8	9.483424051
ABI1	11.59671058
ABI2	8.601888895
ABI3	11.26818045
ABL1	9.496221625
ABLIM1	11.13267662
ABLIM3	9.038324153
ABP1	8.562865481
ABR	12.8248156
ABRACL	9.868326018
ABT1	10.34775168
ABTB1	15.3488405
ABTB2	7.964829191
ACAA1	12.36714971
ACAA2	9.979523698
ACACA	9.927630758
ACACB	9.464544373
ACAD10	10.43737773
ACAD11	8.539435782
ACAD8	10.42817302
ACAD9	9.655793531
ACADM	8.259597271
ACADS	9.089674498
ACADSB	8.896966617
ACADVL	12.51866968
ACAP1	13.45697604
ACAP2	12.04156057
ACAP3	11.42131293
ACAT1	8.386706184
ACAT2	8.477571563
ACBD3	9.417829976
ACBD4	8.757637238
ACBD5	9.350526201
ACBD6	9.038324153
ACCS	8.689007028
ACD	10.29599492
ACE	7.521896706
ACER3	9.486937697
ACIN1	12.61122397
ACLY	11.79920519
ACN9	7.848085746
ACO1	8.573942748
ACO2	11.07668097
ACOT1	7.884451796
ACOT11	7.823881851
ACOT13	9.552645418
ACOT7	7.398768409
ACOT8	9.802147137
ACOT9	10.84133778
ACOX1	12.17983362
ACOX3	8.532665314
ACOXL	8.626765802
ACP1	10.30179203
ACP2	9.766139355
ACP5	9.520814846
ACP6	8.699117526
ACPL2	9.895941969
ACPP	9.541938265
ACRBP	10.33236743
ACRC	7.313894146
ACSF2	8.23532915
ACSF3	9.82727174
ACSL1	15.86895291
ACSL3	10.01361299
ACSL4	10.88262791
ACSL5	10.87726015
ACSL6	9.101499651
ACSM3	7.218882927
ACSS1	10.40663257
ACSS2	11.20738451
ACTA2	10.13853069
ACTB	19.24131236
ACTG1	15.43942353
ACTG2	10.55667822
ACTL6A	9.415295829
ACTN1	14.20276947
ACTN2	6.632932991
ACTN4	13.13800455
ACTR10	10.93609663
ACTR1A	12.53441699
ACTR1B	10.86191019
ACTR2	13.67501861
ACTR3	13.35684283
ACTR3B	7.5962533
ACTR5	8.848450607
ACTR6	6.683346903
ACTR8	9.02884018
ACVR1	8.89436224
ACVR1B	10.77992478
ACVR2A	7.595926387
ACY1	8.123790345
ADA	8.586295181
ADAL	7.456908843
ADAM10	11.09717066
ADAM15	11.6032805
ADAM17	10.61115172
ADAM19	12.75486031
ADAM22	7.550707472
ADAM23	7.279923677
ADAM28	7.990528547
ADAM3A	7.345780246
ADAM8	14.71831095
ADAM9	9.244038404
ADAMTS10	9.048786275
ADAMTS12	7.658733586
ADAMTS13	7.050743334
ADAMTS2	8.975402192
ADAMTSL2	9.39307834
ADAMTSL4	11.50991654
ADAMTSL5	7.389745783
ADAP1	12.62402149
ADAP2	10.01017598
ADAR	14.52548351
ADARB1	7.338086583
ADAT1	9.450258959
ADAT2	8.142380986
ADCK1	7.983187186
ADCK2	9.079530267
ADCK3	11.30825935
ADCK4	11.20033985
ADCK5	8.255397486
ADCY10P1	8.394070946
ADCY3	8.743000531
ADCY4	10.14285997
ADCY7	12.30872313
ADCY9	8.492525215
ADD1	13.29511249
ADD2	6.533999668
ADD3	11.48742148
ADGB	9.002724805
ADH1C	8.132664608
ADH5	9.627863714
ADHFE1	7.964829191
ADI1	10.39298435
ADIPOR1	14.78476416
ADIPOR2	11.17092684
ADK	8.420538064
ADM	11.31511738
ADNP	10.43347725
ADNP2	9.079530267
ADO	8.896966617
ADORA2A	11.10840403
ADORA2A-AS1	8.001545181
ADORA3	8.896966617
ADPGK	10.00170439
ADPRH	9.602602645
ADPRHL2	10.6702445
ADPRM	7.708458232
ADRB2	9.038324153
ADRBK1	15.01318
ADRBK2	10.97783503
ADRM1	11.64313638
ADSL	10.40205108
ADSS	11.13550887
ADTRP	7.328368966
AEBP1	8.317820656
AEBP2	6.277450863
AEN	9.380645341
AES	12.15218696
AFAP1	9.110912528
AFAP1L1	8.142380986
AFF1	8.427550148
AFF2	7.741928032
AFF3	8.785816804
AFF4	10.11158847
AFG3L1P	7.234908122
AFG3L2	10.06081914
AFMID	8.52745603
AFTPH	10.45325387
AGA	9.249937103
AGAP1	8.061363851
AGAP11	9.155374024
AGAP2	11.93154719
AGAP3	9.849953784
AGAP5	7.612837013
AGAP6	8.072394906
AGAP7	8.051741351
AGBL5	8.799239843
AGER	9.253389725
AGFG1	12.15412127
AGFG2	9.094965964
AGGF1	9.127693728
AGK	9.300935691
AGL	8.006242451
AGMAT	8.353491522
AGPAT1	8.568596521
AGPAT2	11.75195548
AGPAT3	11.69139715
AGPAT4	8.386706184
AGPAT5	7.97725484
AGPAT6	11.80577074
AGPAT9	11.24653967
AGPS	9.731135111
AGRN	7.97725484
AGTPBP1	11.70206527
AGTRAP	13.37489602
AGXT2L2	11.31511738
AHCTF1	11.59339478
AHCY	10.47222789
AHCYL1	11.39848339
AHCYL2	10.05884446
AHDC1	7.848085746
AHI1	10.8950028
AHNAK	11.12554381
AHR	10.32464889
AHSA1	10.84158608
AHSA2	10.7902785
AHSP	10.12722205
AIDA	10.28077928
AIF1	8.821214026
AIFM1	9.566757705
AIFM2	7.264435287
AIFM3	8.280071492
AIG1	7.612837013
AIM1	12.50170264
AIM2	8.668521441
AIMP1	9.038324153
AIMP2	8.552426684
AIP	11.49378314
AK1	9.66950632
AK2	11.47103667
AK3	8.950005274
AK5	7.654771397
AKAP1	8.042595113
AKAP10	10.50730735
AKAP11	9.220358375
AKAP13	13.02402209
AKAP2	8.513580612
AKAP5	6.859291099
AKAP7	7.248946896
AKAP8	10.32946181
AKAP8L	11.70524726
AKAP9	10.09461291
AKD1	8.394070946
AKIP1	7.619933124
AKIRIN1	10.85336633
AKIRIN2	11.61316621
AKNA	14.80631504
AKR1A1	10.8724665
AKR1B1	10.6171466
AKR1C3	6.536062568
AKR7A2	10.20693294
AKT1	12.65196035
AKT1S1	10.56805098
AKT2	12.74813061
AKT3	8.609546296
AKTIP	10.1448054
ALAD	10.4464532
ALAS1	10.58067138
ALAS2	14.35122575
ALCAM	8.662112349
ALDH16A1	10.90657447
ALDH18A1	8.695476315
ALDH1A1	10.4686897
ALDH1A2	7.234908122
ALDH1B1	7.456908843
ALDH1L1	8.02299572
ALDH1L2	7.783184042
ALDH2	12.53566898
ALDH3A2	9.008670037
ALDH3B1	12.89283173
ALDH4A1	8.150640925
ALDH5A1	9.181286555
ALDH7A1	7.756230798
ALDH9A1	11.34364645
ALDOA	15.41040357
ALDOC	10.23368092
ALG1	9.398017244
ALG10B	7.360194852
ALG12	10.14285997
ALG13	7.050743334
ALG1L9P	8.101260277
ALG2	9.10460596
ALG3	9.817948325
ALG5	8.181146897
ALG6	9.212538286
ALG8	9.547871803
ALG9	8.294226505
ALKBH1	8.641525264
ALKBH3	8.244873175
ALKBH4	9.631613035
ALKBH5	11.77578991
ALKBH6	8.283652783
ALKBH7	10.47858587
ALKBH8	8.274321367
ALMS1	7.874671181
ALOX12	9.592819941
ALOX15	9.426198712
ALOX15B	10.16144786
ALOX5	14.41694605
ALOX5AP	15.26878681
ALPI	8.001545181
ALPK1	12.72524879
ALPL	14.4378532
ALS2	9.945086835
ALS2CL	9.192314687
ALS2CR8	7.62731807
ALYREF	10.34043924
AMACR	7.103352357
AMBRA1	10.11781011
AMD1	11.35787582
AMDHD2	10.08365361
AMER1	7.050743334
AMFR	10.89858097
AMICA1	15.34310076
AMIGO1	7.953272982
AMIGO3	7.874671181
AMMECR1	7.424026772
AMMECR1L	9.327733008
AMN1	8.747063015
AMPD2	13.44132691
AMPD3	11.245326
AMT	8.401422415
AMY1B	8.593917111
AMY1C	8.713384062
AMY2B	9.162283171
AMZ2	10.66197099
AMZ2P1	7.050743334
ANAPC1	10.62640827
ANAPC11	9.788035667
ANAPC13	10.14808318
ANAPC15	8.263979741
ANAPC16	11.85973819
ANAPC2	10.8218722
ANAPC4	9.461921747
ANAPC5	11.73520591
ANAPC7	9.977942228
ANGEL1	9.317339695
ANGEL2	8.925300699
ANGPT1	7.439882665
ANK1	11.01712152
ANK3	8.066879378
ANKAR	7.360194852
ANKDD1A	7.836211334
ANKFY1	11.11795583
ANKH	10.69799471
ANKHD1	9.564790169
ANKHD1-EIF4EBP3	12.63088472
ANKIB1	8.626765802
ANKLE1	7.823881851
ANKLE2	10.78807283
ANKMY1	8.632036079
ANKMY2	8.788840791
ANKRA2	7.732331708
ANKRD10	10.68354805
ANKRD11	11.82033813
ANKRD12	9.715147105
ANKRD13A	13.49366112
ANKRD13C	7.915304824
ANKRD13D	13.03854506
ANKRD16	9.503544982
ANKRD17	10.61511372
ANKRD19P	11.00882462
ANKRD20A9P	10.56998812
ANKRD22	8.626765802
ANKRD26	7.040613885
ANKRD26P3	7.925374173
ANKRD27	10.75650122
ANKRD28	11.95046385
ANKRD30A	8.042595113
ANKRD32	7.964829191
ANKRD33B	8.363111741
ANKRD34B	6.174513465
ANKRD36	9.178976601
ANKRD36B	8.677181342
ANKRD40	9.429996026
ANKRD44	9.909714906
ANKRD46	7.030484437
ANKRD49	8.310552443
ANKRD52	10.74578902
ANKRD54	8.783826439
ANKRD55	8.685330318
ANKRD6	7.475317096
ANKRD9	8.363111741
ANKS1A	11.01111862
ANKS3	8.446515301
ANKS6	8.114831702
ANKZF1	11.71056176
ANO10	10.75969584
ANO2	7.696705782
ANO4	6.813576918
ANO6	10.30869253
ANO7	7.836211334
ANO8	8.568587654
ANO9	10.03704355
ANP32A	13.25901295
ANP32AP1	9.913100334
ANP32B	11.77578991
ANP32C	8.713384062
ANP32E	9.068238088
ANPEP	14.64334019
ANTXR2	10.99530643
ANXA1	12.76274332
ANXA11	14.67031628
ANXA2	13.3420711
ANXA2P1	8.255397486
ANXA2P2	12.09325269
ANXA2P3	9.341867906
ANXA2R	8.655703257
ANXA3	11.3196846
ANXA4	10.24885456
ANXA5	13.14151493
ANXA6	13.13073885
ANXA7	12.4729206
ANXA8	9.735035058
ANXA9	9.496150748
AOAH	13.54779831
AOC2	9.496573406
AOC3	9.742728141
AOX1	8.02299572
AOX2P	10.17813228
AP1AR	6.976773015
AP1B1	12.01218104
AP1G1	11.86512579
AP1G2	12.07915323
AP1M1	12.14345473
AP1S1	8.993658727
AP1S2	11.35453032
AP1S3	7.74393275
AP2A1	12.67921181
AP2A2	11.06857739
AP2B1	12.55848216
AP2M1	13.47354749
AP2S1	11.07764063
AP3B1	10.82782792
AP3D1	12.05966085
AP3M1	10.74068934
AP3M2	8.907969955
AP3S1	10.38612814
AP3S2	12.07274447
AP4B1	9.945086835
AP4E1	9.677006272
AP4M1	8.415779271
AP4S1	8.677181342
AP5B1	13.67483833
AP5M1	9.043711816
AP5S1	8.263979741
AP5Z1	12.15373261
APAF1	11.26814263
APBA2	9.990008668
APBA3	10.48873874
APBB1	9.67755664
APBB1IP	13.87518016
APBB2	7.218882927
APBB3	10.71711893
APC	9.359737925
APC2	8.150640925
APEH	11.73228976
APEX1	11.34737167
APEX2	9.469592464
APH1A	11.50004836
APH1B	10.75290699
API5	9.023681347
APIP	7.17829364
APLP1	9.123831552
APLP2	14.27724599
APMAP	13.87724345
APOA1BP	9.783189726
APOB	8.114831702
APOBEC3A	13.33990783
APOBEC3A_B	12.71833316
APOBEC3B	7.264157093
APOBEC3C	10.06615882
APOBEC3D	10.34597851
APOBEC3F	9.624553275
APOBEC3G	10.50035482
APOBR	14.27474638
APOC1	7.696705782
APOL1	11.00967743
APOL2	12.15465747
APOL3	11.13362304
APOL4	8.728480796
APOL6	10.89103929
APOO	8.359117263
APOOL	8.609546296
APOPT1	8.579952955
APP	11.39389495
APPBP2	9.642337698
APPL1	9.851111399
APPL2	10.47858587
APRT	11.28008191
APTX	7.707482192
AQP1	6.792837379
AQP10	8.123790345
AQP3	9.868326018
AQP4-AS1	7.595926387
AQP9	15.66673179
AQR	10.30714284
ARAF	12.12622709
ARAP1	14.82370446
ARAP2	9.233413287
ARAP3	12.55544272
ARCN1	12.11401821
ARF1	14.02844402
