Symbol	P24
1-Mar	9.877088994
2-Mar	12.37669574
3-Mar	6.790757574
5-Mar	10.2159886
6-Mar	11.75532858
7-Mar	11.63315421
8-Mar	11.25704147
9-Mar	9.61145441
1-Sep	12.00306066
2-Sep	12.59329889
5-Sep	11.1014293
6-Sep	12.29136159
7-Sep	11.94760235
8-Sep	6.9831901
9-Sep	14.2485544
10-Sep	6.937577614
11-Sep	9.463052106
14-Sep	8.07570906
15-Sep	11.93489995
A1BG	7.014216078
AAAS	10.41615125
AACS	8.967569437
AADAT	8.832372301
AAED1	8.654907415
AAGAB	9.927794817
AAK1	11.49094316
AAMP	11.04640212
AAR2	10.4542654
AARS	10.58287522
AARS2	9.192762637
AARSD1	8.750545533
AASDH	8.046206574
AASDHPPT	9.220358375
AATF	11.24305745
AATK	12.37706995
ABAT	10.42127204
ABCA1	10.20607135
ABCA12	7.720086663
ABCA13	8.444810266
ABCA2	11.84826683
ABCA3	9.426598161
ABCA4	7.173114301
ABCA5	8.931051125
ABCA6	7.738935347
ABCA7	13.41371776
ABCA9	6.771205949
ABCB1	7.521515033
ABCB10	8.429291409
ABCB5	7.445200425
ABCB6	8.118234157
ABCB7	8.882011243
ABCB8	10.02887677
ABCC1	10.89421205
ABCC10	9.77699334
ABCC11	8.026822417
ABCC13	7.798223982
ABCC2	8.193308609
ABCC3	10.58039659
ABCC4	8.5226138
ABCC5	10.08160902
ABCC6	9.131171312
ABCC8	7.467043568
ABCC9	8.09266094
ABCD1	10.60280699
ABCD2	8.274136504
ABCD3	8.86666771
ABCD4	9.551751675
ABCE1	9.370237635
ABCF1	10.98253995
ABCF2	10.14261449
ABCF3	10.84659893
ABCG1	11.1400957
ABCG2	8.132926019
ABHD10	8.805239033
ABHD11	7.113764824
ABHD12	9.149238463
ABHD13	9.028737167
ABHD14A	8.600168722
ABHD14A-ACY1	8.409780976
ABHD14B	11.37283566
ABHD15	9.047493239
ABHD16A	9.409486848
ABHD16B	8.480027616
ABHD2	13.75924825
ABHD3	10.3130554
ABHD4	10.91451845
ABHD5	11.40743464
ABHD6	7.738935347
ABHD8	9.417434435
ABI1	11.86130095
ABI2	8.998460843
ABI3	10.15441374
ABL1	9.698491088
ABLIM1	12.28851191
ABLIM3	10.51989693
ABP1	8.995751127
ABR	12.90631381
ABRACL	9.61929528
ABT1	10.45862691
ABTB1	14.44223606
ABTB2	8.433485762
ACAA1	12.0848062
ACAA2	9.989282797
ACACA	9.752439868
ACACB	9.796060489
ACAD10	10.05071083
ACAD11	8.176635247
ACAD8	10.03189986
ACAD9	9.636763956
ACADM	8.836348942
ACADS	9.07146103
ACADSB	8.991333984
ACADVL	12.43934585
ACAP1	13.82625403
ACAP2	12.09374638
ACAP3	10.70669016
ACAT1	8.491713692
ACAT2	8.825780177
ACBD3	9.354746548
ACBD4	8.862792173
ACBD5	9.555594866
ACBD6	8.899337164
ACCS	8.191405156
ACD	9.739574691
ACE	7.186678169
ACER3	9.852270445
ACIN1	12.92372059
ACLY	11.96554979
ACN9	8.10449905
ACO1	9.047493239
ACO2	11.2068347
ACOT1	7.530065192
ACOT11	7.489312924
ACOT13	9.313162958
ACOT7	8.193728084
ACOT8	9.76152483
ACOT9	10.72267146
ACOX1	12.48887053
ACOX3	8.452948961
ACOXL	8.982874905
ACP1	10.18424773
ACP2	9.717019987
ACP5	10.23572442
ACP6	8.512499883
ACPL2	7.919469753
ACPP	10.27030984
ACRBP	10.25305633
ACRC	7.030136829
ACSF2	8.845012356
ACSF3	9.811955242
ACSL1	15.34309108
ACSL3	10.0068974
ACSL4	10.80808816
ACSL5	11.2068347
ACSL6	9.139754545
ACSM3	7.501084981
ACSS1	10.42830071
ACSS2	11.39722411
ACTA2	10.25630637
ACTB	18.61143709
ACTG1	15.72283222
ACTG2	10.27315546
ACTL6A	9.330414783
ACTN1	14.64334019
ACTN2	7.360453506
ACTN4	13.3063228
ACTR10	10.41827646
ACTR1A	12.63629204
ACTR1B	10.70809714
ACTR2	13.97612444
ACTR3	13.82756427
ACTR3B	7.626628907
ACTR5	8.740944169
ACTR6	7.398992402
ACTR8	9.028737167
ACVR1	9.271696481
ACVR1B	10.47304171
ACVR2A	7.877263098
ACY1	7.398992402
ADA	8.995126567
ADAL	7.130957939
ADAM10	11.08012302
ADAM15	11.33269547
ADAM17	10.90212674
ADAM19	12.47672258
ADAM22	7.749150422
ADAM23	7.346721141
ADAM28	8.368729619
ADAM3A	7.086143932
ADAM8	14.47650662
ADAM9	9.504182929
ADAMTS10	9.263995001
ADAMTS12	7.101741518
ADAMTS13	7.113764824
ADAMTS2	7.709209487
ADAMTSL2	8.684382049
ADAMTSL4	11.40830106
ADAMTSL5	7.976381308
ADAP1	12.03971967
ADAP2	10.06234532
ADAR	14.67031628
ADARB1	8.065146703
ADAT1	9.436631914
ADAT2	8.01371763
ADCK1	7.902127719
ADCK2	9.169713561
ADCK3	11.58294846
